Product_Number,Description,Gearhead_type,Reduction,Stages,Max_cont_torque,Max_int_torque,Max_eff,Inertia,Direction,Weight,Recommended,Price
unknown_1,"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",GPX ,103 : 1 ,3,4.3,5.3,90,1.3,= ,95,0,290.09
unknown_2,"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",GPX ,111 : 1 ,3,4.3,5.3,90,1.3,= ,95,0,290.09
unknown_3,"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",GPX ,138 : 1 ,3,4.3,5.3,90,1.3,= ,95,0,290.09
unknown_4,"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",GPX ,150 : 1 ,3,4.3,5.3,90,1.3,= ,95,0,290.09
unknown_5,"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",GPX ,172 : 1 ,3,4.3,5.3,90,1.3,= ,95,0,290.09
unknown_6,"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",GPX ,186 : 1 ,3,4.3,5.3,90,1.3,= ,95,0,290.09
unknown_7,"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",GPX ,231 : 1 ,3,4.3,5.3,90,1.3,= ,95,0,290.09
unknown_8,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,243 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_9,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,326 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_10,"Planetary gearhead GPX 22 UP Ø22 mm, 1-stage",GPX ,3.9 : 1 ,1,1,1.25,96,1.07,= ,56,0,220.82
unknown_11,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,406 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_12,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,439 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_13,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,546 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_14,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,590 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_15,"Planetary gearhead GPX 22 UP Ø22 mm, 1-stage",GPX ,5.3 : 1 ,1,1,1.25,96,1.07,= ,56,0,220.82
unknown_16,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,679 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_17,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,734 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_18,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,794 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_19,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,913 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_20,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,987 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_21,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,1135 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_22,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,1227 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_23,"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",GPX ,1526 : 1 ,4,5.2,6.5,87,1.38,= ,110,0,319.55
unknown_24,"Planetary gearhead GPX 22 UP Ø22 mm, 2-stage",GPX ,16 : 1 ,2,2.9,3.6,93,1.17,= ,78,0,250.91
unknown_25,"Planetary gearhead GPX 22 UP Ø22 mm, 2-stage",GPX ,21 : 1 ,2,2.9,3.6,93,1.17,= ,78,0,250.91
unknown_26,"Planetary gearhead GPX 22 UP Ø22 mm, 2-stage",GPX ,26 : 1 ,2,2.9,3.6,93,1.17,= ,78,0,250.91
unknown_27,"Planetary gearhead GPX 22 UP Ø22 mm, 2-stage",GPX ,28 : 1 ,2,2.9,3.6,93,1.17,= ,78,0,250.91
unknown_28,"Planetary gearhead GPX 22 UP Ø22 mm, 2-stage",GPX ,35 : 1 ,2,2.9,3.6,93,1.17,= ,78,0,250.91
unknown_29,"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",GPX ,62 : 1 ,3,4.3,5.3,90,1.3,= ,95,0,290.09
unknown_30,"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",GPX ,83 : 1 ,3,4.3,5.3,90,1.3,= ,95,0,290.09
110308,"Planetary Gearhead GP 10 K Ø10 mm, 0.005 - 0.1 Nm, Plastic Version",GP ,4 : 1 ,1,0.005,0.005,90,0.003,= ,2,1,32.91
110309,"Planetary Gearhead GP 10 K Ø10 mm, 0.005 - 0.1 Nm, Plastic Version",GP ,16 : 1 ,2,0.015,0.015,80,0.003,= ,2,1,38.64
110310,"Planetary Gearhead GP 10 K Ø10 mm, 0.005 - 0.1 Nm, Plastic Version",GP ,64 : 1 ,3,0.054,0.054,70,0.003,= ,3,1,47.45
110311,"Planetary Gearhead GP 10 K Ø10 mm, 0.005 - 0.1 Nm, Plastic Version",GP ,256 : 1 ,4,0.1,0.1,60,0.004,= ,3,1,58.64
110312,"Planetary Gearhead GP 10 K Ø10 mm, 0.005 - 0.1 Nm, Plastic Version",GP ,1024 : 1 ,5,0.1,0.1,55,0.003,= ,4,1,65.82
110313,"Planetary Gearhead GP 13 A Ø13 mm, 0.02 - 0.35 Nm, Metal Version, Sleeve Bearing",GP ,4.1 : 1 ,1,0.2,0.3,91,0.025,= ,11,0,38.45
110314,"Planetary Gearhead GP 13 A Ø13 mm, 0.02 - 0.35 Nm, Metal version",GP ,17 : 1 ,2,0.2,0.3,83,0.015,= ,14,0,47.18
110315,"Planetary Gearhead GP 13 A Ø13 mm, 0.02 - 0.35 Nm, Metal version, Planetary Gearhead",GP ,67 : 1 ,3,0.3,0.45,75,0.015,= ,17,0,54.09
110316,"Planetary Gearhead GP 13 A Ø13 mm, 0.02 - 0.35 Nm, Metal version",GP ,275 : 1 ,4,0.3,0.45,69,0.015,= ,20,0,61.91
110317,"Planetary Gearhead GP 13 A Ø13 mm, 0.02 - 0.35 Nm, Metal Version, Sleeve Bearing",GP ,1119 : 1 ,5,0.35,0.53,62,0.015,= ,23,1,71.73
110321,"Planetary Gearhead GP 16 A Ø16 mm, 0.1 - 0.3 Nm, Metal Version, Sleeve Bearing",GP ,4.4 : 1 ,1,0.1,0.15,90,0.07,= ,20,0,40.55
110322,"Planetary Gearhead GP 16 A Ø16 mm, 0.1 - 0.3 Nm, Metal Version, Sleeve Bearing",GP ,19 : 1 ,2,0.15,0.225,81,0.05,= ,23,0,48.36
110323,"Planetary Gearhead GP 16 A Ø16 mm, 0.1 - 0.3 Nm, Metal Version, Sleeve Bearing",GP ,84 : 1 ,3,0.2,0.3,73,0.05,= ,27,0,56.55
110324,"Planetary Gearhead GP 16 A Ø16 mm, 0.1 - 0.3 Nm, Metal Version, Sleeve Bearing",GP ,370 : 1 ,4,0.25,0.375,65,0.05,= ,31,0,64
110325,"Planetary Gearhead GP 16 A Ø16 mm, 0.1 - 0.3 Nm, Metal Version, Sleeve Bearing",GP ,1621 : 1 ,5,0.3,0.45,59,0.05,= ,35,0,71.64
110337,"Planetary Gearhead GP 22 A Ø22 mm, 0.5 - 1.0 Nm, Metal Version",GP ,4.4 : 1 ,1,0.5,0.8,84,0.5,= ,42,1,75.36
110338,"Planetary Gearhead GP 22 A Ø22 mm, 0.5 - 1.0 Nm, Metal Version",GP ,19 : 1 ,2,0.5,0.8,70,0.4,= ,55,1,83.18
110339,"Planetary Gearhead GP 22 A Ø22 mm, 0.5 - 1.0 Nm, Metal Version",GP ,84 : 1 ,3,0.8,1.2,59,0.4,= ,68,0,87.82
110340,"Planetary Gearhead GP 22 A Ø22 mm, 0.5 - 1.0 Nm, Metal Version",GP ,370 : 1 ,4,1,1.6,49,0.3,= ,81,0,92.27
110341,"Planetary Gearhead GP 22 A Ø22 mm, 0.5 - 1.0 Nm, Metal Version",GP ,1621 : 1 ,5,1,1.6,42,0.3,= ,94,1,96.91
110355,"Planetary Gearhead GP 22 B Ø22 mm, 0.1 - 0.3 Nm, Sleeve Bearing",GP ,4.4 : 1 ,1,0.1,0.15,90,0.07,= ,39,1,59.18
110356,"Planetary Gearhead GP 22 B Ø22 mm, 0.1 - 0.3 Nm, Sleeve Bearing",GP ,19 : 1 ,2,0.15,0.225,81,0.05,= ,48,1,64.09
110357,"Planetary Gearhead GP 22 B Ø22 mm, 0.1 - 0.3 Nm, Sleeve Bearing",GP ,84 : 1 ,3,0.2,0.3,73,0.05,= ,57,1,83.27
110358,"Planetary Gearhead GP 22 B Ø22 mm, 0.1 - 0.3 Nm, Sleeve Bearing",GP ,370 : 1 ,4,0.25,0.375,65,0.05,= ,65,1,89.73
110359,"Planetary Gearhead GP 22 B Ø22 mm, 0.1 - 0.3 Nm, Sleeve Bearing",GP ,1621 : 1 ,5,0.3,0.45,59,0.05,= ,73,1,99.73
110408,"Planetary Gearhead GP 81 A Ø81 mm, 20 - 120 Nm",GP ,3.7 : 1 ,1,20,30,80,165,= ,2300,0,341.18
110409,"Planetary Gearhead GP 81 A Ø81 mm, 20 - 120 Nm",GP ,14 : 1 ,2,60,90,75,155,= ,3000,1,385.64
110410,"Planetary Gearhead GP 81 A Ø81 mm, 20 - 120 Nm",GP ,25 : 1 ,2,60,90,75,125,= ,3000,0,385.64
110411,"Planetary Gearhead GP 81 A Ø81 mm, 20 - 120 Nm",GP ,51 : 1 ,3,120,180,70,88,= ,3700,1,458.45
110412,"Planetary Gearhead GP 81 A Ø81 mm, 20 - 120 Nm",GP ,93 : 1 ,3,120,180,70,154,= ,3700,1,458.45
110413,"Planetary Gearhead GP 81 A Ø81 mm, 20 - 120 Nm",GP ,308 : 1 ,3,120,180,70,89,= ,3700,0,458.45
110445,"Spur Gearhead GS 30 A Ø30 mm, 0.07 - 0.2 Nm",GS ,15 : 1 ,3,0.07,0.21,73,0.17,,40,1,46.27
110446,"Spur Gearhead GS 30 A Ø30 mm, 0.07 - 0.2 Nm",GS ,30 : 1 ,3,0.07,0.21,73,0.14,,40,1,46.27
