Description,Torque,Ratio,Efficiency,Weight,Inertia,Shaft,Price
"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",4.3,103 : 1,90,95,1.3,22,290.09
"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",4.3,111 : 1,90,95,1.3,22,290.09
"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",4.3,138 : 1,90,95,1.3,22,290.09
"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",4.3,150 : 1,90,95,1.3,22,290.09
"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",4.3,172 : 1,90,95,1.3,22,290.09
"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",4.3,186 : 1,90,95,1.3,22,290.09
"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",4.3,231 : 1,90,95,1.3,22,290.09
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,243 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,326 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 1-stage",1,3.9 : 1,96,56,1.07,22,220.82
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,406 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,439 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,546 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,590 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 1-stage",1,5.3 : 1,96,56,1.07,22,220.82
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,679 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,734 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,794 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,913 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,987 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,1135 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,1227 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 4-stage",5.2,1526 : 1,87,110,1.38,22,319.55
"Planetary gearhead GPX 22 UP Ø22 mm, 2-stage",2.9,16 : 1,93,78,1.17,22,250.91
"Planetary gearhead GPX 22 UP Ø22 mm, 2-stage",2.9,21 : 1,93,78,1.17,22,250.91
"Planetary gearhead GPX 22 UP Ø22 mm, 2-stage",2.9,26 : 1,93,78,1.17,22,250.91
"Planetary gearhead GPX 22 UP Ø22 mm, 2-stage",2.9,28 : 1,93,78,1.17,22,250.91
"Planetary gearhead GPX 22 UP Ø22 mm, 2-stage",2.9,35 : 1,93,78,1.17,22,250.91
"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",4.3,62 : 1,90,95,1.3,22,290.09
"Planetary gearhead GPX 22 UP Ø22 mm, 3-stage",4.3,83 : 1,90,95,1.3,22,290.09
"Planetary Gearhead GP 13 A Ø13 mm, 0.02 - 0.35 Nm, Metal Version, Sleeve Bearing",0.2,4.1 : 1,91,11,0.025,13,38.45
"Planetary Gearhead GP 13 A Ø13 mm, 0.02 - 0.35 Nm, Metal version",0.2,17 : 1,83,14,0.015,13,47.18
"Planetary Gearhead GP 13 A Ø13 mm, 0.02 - 0.35 Nm, Metal version, Planetary Gearhead",0.3,67 : 1,75,17,0.015,13,54.09
"Planetary Gearhead GP 13 A Ø13 mm, 0.02 - 0.35 Nm, Metal version",0.3,275 : 1,69,20,0.015,13,61.91
"Planetary Gearhead GP 16 A Ø16 mm, 0.1 - 0.3 Nm, Metal Version, Sleeve Bearing",0.1,4.4 : 1,90,20,0.07,16,40.55
"Planetary Gearhead GP 16 A Ø16 mm, 0.1 - 0.3 Nm, Metal Version, Sleeve Bearing",0.15,19 : 1,81,23,0.05,16,48.36
"Planetary Gearhead GP 16 A Ø16 mm, 0.1 - 0.3 Nm, Metal Version, Sleeve Bearing",0.2,84 : 1,73,27,0.05,16,56.55
"Planetary Gearhead GP 16 A Ø16 mm, 0.1 - 0.3 Nm, Metal Version, Sleeve Bearing",0.25,370 : 1,65,31,0.05,16,64
"Planetary Gearhead GP 16 A Ø16 mm, 0.1 - 0.3 Nm, Metal Version, Sleeve Bearing",0.3,1621 : 1,59,35,0.05,16,71.64
"Planetary Gearhead GP 22 A Ø22 mm, 0.5 - 1.0 Nm, Metal Version",0.8,84 : 1,59,68,0.4,22,87.82
"Planetary Gearhead GP 22 A Ø22 mm, 0.5 - 1.0 Nm, Metal Version",1,370 : 1,49,81,0.3,22,92.27
"Planetary Gearhead GP 81 A Ø81 mm, 20 - 120 Nm",20,3.7 : 1,80,2300,165,81,341.18
"Planetary Gearhead GP 81 A Ø81 mm, 20 - 120 Nm",60,25 : 1,75,3000,125,81,385.64
"Planetary Gearhead GP 81 A Ø81 mm, 20 - 120 Nm",120,308 : 1,70,3700,89,81,458.45
"Planetary Gearhead GP 22 A Ø22 mm, 0.5 - 1.0 Nm, Metal Version",0.5,14 : 1,70,55,0.4,22,83.18
"Planetary Gearhead GP 22 A Ø22 mm, 0.5 - 1.0 Nm, Metal Version",0.8,128 : 1,59,68,0.4,22,87.82
"Planetary Gearhead GP 22 C Ø22 mm, 0.5 - 2.0 Nm",0.6,14 : 1,70,55,0.4,22,97.55
"Planetary Gearhead GP 22 C Ø22 mm, 0.5 - 2.0 Nm",1.2,84 : 1,59,68,0.4,22,108
"Planetary Gearhead GP 22 C Ø22 mm, 0.5 - 2.0 Nm",1.2,128 : 1,59,68,0.4,22,108
"Planetary Gearhead GP 22 C Ø22 mm, 0.5 - 2.0 Nm",1.8,370 : 1,49,81,0.4,22,118.18
