Product_Number,Description,V,R,L,inertia,mass,k_t,k_e,I_nom,omega_nl,I_nl,R_wh,R_ha,omega_max,Stall_torque,Price
597974,"EC 90 flat Ø90 mm, brushless, 600 W, with Hall sensors",30,0.28,0.000369,0.00051,0.98,0.136,0.136,10.5,217.817090648892,0.493,0.848,0.867,523.598775598299,14.6,218.82
606793,"EC-i 52 Ø52 mm, brushless, 200 W, with Hall sensors",24,0.119,0.000149,2.64e-05,1.1,0.068,0.068,9.36,349.763982099664,0.657,0.53,4.02,523.598775598299,13.8,373.18
607930,"EC 90 flat Ø90 mm, brushless, 400 W, with Hall sensors",30,0.28,0.000369,0.000476,0.96,0.136,0.136,8.73,217.817090648892,0.475,1.02,1.37,523.598775598299,14.6,212.73
607942,"EC 90 flat Ø90 mm, brushless, 220 W, with Hall sensors",24,0.216,0.000232,0.000287,0.62,0.0712,0.0712,9.44,331.961623729321,0.658,1.13,1.37,523.598775598299,7.91,176.09
607950,"EC 90 flat Ø90 mm, brushless, 360 W, with Hall sensors EC 90 flat Ø90 mm, brushless, 360 W, with Hall sensors",24,0.216,0.000232,0.000321,0.63,0.0701,0.0701,12,336.150413934108,0.696,0.923,0.675,523.598775598299,7.8,181
614949,"EC 60 flat Ø60 mm, brushless, 200 W, with Hall sensors",24,0.293,0.000279,8.32e-05,0.36,0.0525,0.0525,9.28,450.294947014537,0.497,0.843,1.22,628.318530717959,4.3,114.36
625855,"EC 60 flat Ø60 mm, brushless, 100 W, with Hall sensors",24,0.293,0.000279,8.35e-05,0.35,0.0525,0.0525,5.14,450.294947014537,0.493,3.8,2.5,628.318530717959,4.3,102.64
625858,"EC 60 flat Ø60 mm, brushless, 150 W, with Hall sensors",24,0.293,0.000279,8.1e-05,0.35,0.0525,0.0525,7.25,450.294947014537,0.497,1.48,1.94,628.318530717959,4.3,107.82
634043,"EC-i 52 Ø52 mm, brushless, 200 W, with Hall sensors",48,0.24,0.000424,2.64e-05,1.1,0.115,0.115,5.44,415.737427825049,0.419,0.53,4.02,523.598775598299,22.9,373.18
642221,"EC 60 flat Ø60 mm, brushless, 200 W, with Hall sensors and cables",24,0.293,0.000279,8.32e-05,0.37,0.0525,0.0525,9.28,450.294947014537,0.497,0.843,1.22,628.318530717959,4.3,118
unknown_1,"ECX SPEED 6 M Ø6 mm, brushless, with Hall sensors",3,0.766,5e-06,7.03e-10,0.003,0.00037,0.00037,1.24,7791.14978090269,0.149,13.2,65.8,10471.975511966,0.00145,207.09
unknown_2,"ECX SPEED 6 M Ø6 mm, brushless, sensorless",3,0.686,5e-06,7.03e-10,0.003,0.00037,0.00037,1.24,7822.56570743858,0.149,13.2,65.8,10471.975511966,0.00162,178.09
unknown_3,"ECX SPEED 6 M Ø6 mm, brushless, with Hall sensors",6,3.49,3e-05,7.03e-10,0.003,0.000882,0.000882,0.517,6565.92864600267,0.0588,13.2,65.8,10471.975511966,0.00152,207.09
unknown_4,"ECX SPEED 6 M Ø6 mm, brushless, sensorless",6,3.41,3e-05,7.03e-10,0.003,0.000882,0.000882,0.517,6565.92864600267,0.0589,13.2,65.8,10471.975511966,0.00155,178.09
unknown_5,"ECX SPEED 6 M Ø6 mm, brushless, with Hall sensors",12,12.4,0.000118,7.03e-10,0.003,0.00175,0.00175,0.268,6639.23247458643,0.0298,13.2,65.8,10471.975511966,0.0017,207.09
unknown_6,"ECX SPEED 6 M Ø6 mm, brushless, sensorless",12,12.3,0.000118,7.03e-10,0.003,0.00175,0.00175,0.268,6639.23247458643,0.0298,13.2,65.8,10471.975511966,0.00171,178.09
unknown_7,"ECX SPEED 6 M Ø6 mm, brushless, with Hall sensors",6,8.72,6.5e-05,7.03e-10,0.003,0.00121,0.00121,0.314,4628.61317628896,0.0465,16.8,67.1,10471.975511966,0.000832,178.36
unknown_8,"ECX SPEED 6 M Ø6 mm, brushless, sensorless",6,8.64,6.5e-05,7.03e-10,0.003,0.00121,0.00121,0.314,4628.61317628896,0.0465,16.8,67.1,10471.975511966,0.000839,150.18
unknown_9,"ECX SPEED 6 M Ø6 mm, brushless, with Hall sensors",12,63.8,0.000436,7.03e-10,0.003,0.00314,0.00314,0.116,3487.16784548467,0.0162,16.8,67.1,10471.975511966,0.00059,178.36
unknown_10,"ECX SPEED 6 M Ø6 mm, brushless, sensorless",12,63.8,0.000436,7.03e-10,0.003,0.00312,0.00312,0.116,3508.1117965086,0.0163,16.8,67.1,10471.975511966,0.000588,150.18
110045,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, with terminals",12,23.1,0.00083,8.49e-08,0.021,0.00917,0.00917,0.243,1288.05298797182,0.00954,5.5,29.8,1989.67534727354,0.00477,39.18
110049,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 2 Watt, with terminals",24,76.2,0.00261,8.16e-08,0.021,0.0163,0.0163,0.134,1445.1326206513,0.00583,5.5,29.8,1989.67534727354,0.00512,39.18
110056,"A-max 16 Ø16 mm, Precious Metal Brushes CLL, 1.2 Watt, with terminals",12,31.1,0.00113,8.59e-08,0.022,0.0107,0.0107,0.209,1078.6134777325,0.0154,5.5,29.8,1151.91730631626,0.00413,39.55
110069,"A-max 16 Ø16 mm, Graphite Brushes, 2 Watt, with terminals",21,76.1,0.00261,8.16e-08,0.021,0.0163,0.0163,0.162,1183.33323285216,0.023,5.5,29.8,1246.16508592395,0.00449,42.45
110089,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 2.5 Watt, with terminals",24,79.7,0.00387,1.99e-07,0.033,0.0254,0.0254,0.138,928.864227911382,0.00573,10.5,21.3,1675.51608191456,0.00763,42.27
110095,"A-max 19 Ø19 mm, Precious Metal Brushes CLL, 1.5 Watt, with terminals",7.2,13.8,0.000719,2.09e-07,0.034,0.0109,0.0109,0.332,641.932098883514,0.014,10.5,21.3,1047.1975511966,0.00568,43.09
110121,"A-max 22 Ø22 mm, Precious Metal Brushes CLL, 5 Watt, with terminals",12,5.39,0.000362,4.36e-07,0.054,0.0109,0.0109,0.586,1089.08545324446,0.0168,6,20,1675.51608191456,0.0243,45
110125,"A-max 22 Ø22 mm, Precious Metal Brushes CLL, 5 Watt, with terminals",24,21.2,0.00137,4.2e-07,0.054,0.0212,0.0212,0.294,1120.50137978036,0.00881,6,20,1675.51608191456,0.024,45
110128,"A-max 22 Ø22 mm, Precious Metal Brushes CLL, 5 Watt, with terminals",48,122,0.00729,3.97e-07,0.054,0.0489,0.0489,0.123,971.799327510443,0.00347,6,20,1675.51608191456,0.0193,45
110147,"A-max 22 Ø22 mm, Graphite Brushes, 6 Watt, with terminals",12,5.53,0.000363,4.29e-07,0.054,0.0109,0.0109,0.681,1068.14150222053,0.0458,6,20,1026.25360017267,0.0237,47.18
110151,"A-max 22 Ø22 mm, Graphite Brushes, 6 Watt, with terminals",24,21.5,0.00137,4.13e-07,0.054,0.0212,0.0212,0.347,1099.55742875643,0.0237,6,20,1026.25360017267,0.0237,47.18
110164,"A-max 22 Ø22 mm, Graphite Brushes, 6 Watt, with terminals",24,21.5,0.00137,4.2e-07,0.054,0.0212,0.0212,0.347,1099.55742875643,0.0237,6,20,1026.25360017267,0.0237,48.09
110212,"A-max 26 Ø26 mm, Precious Metal Brushes CLL, 4.5 Watt, with terminals",24,30.1,0.00299,1.25e-06,0.11,0.0503,0.0503,0.312,472.286095589666,0.00845,3.2,13.2,701.62235930172,0.0401,96.45
110940,"A-max 26 Ø26 mm, Graphite Brushes, 11 Watt, with terminals",24,7.36,0.00077,1.31e-06,0.11,0.0255,0.0255,0.749,930.958623013775,0.0317,3.2,13.2,1089.08545324446,0.0833,114.18
118889,"EC 32 Ø32 mm, brushless, 80 Watt, with Hall sensors",24,1.39,0.000226,2e-06,0.27,0.0205,0.0205,2.46,1151.91730631626,0.199,2.5,5.4,2617.99387799149,0.355,292.82
118890,"EC 32 Ø32 mm, brushless, 80 Watt, with Hall sensors",48,5.43,0.000856,2e-06,0.27,0.04,0.04,1.23,1183.33323285216,0.104,2.5,5.4,2617.99387799149,0.353,292.82
148867,"RE 40 Ø40 mm, Graphite Brushes, 150 Watt",24,0.299,8.2e-05,1.42e-05,0.48,0.0302,0.0302,6,793.775743807021,0.137,1.93,4.65,1256.63706143592,2.42,347.73
148877,"RE 40 Ø40 mm, Graphite Brushes, 150 Watt",48,1.13,0.00033,1.37e-05,0.48,0.0603,0.0603,3.17,794.822941358218,0.0686,1.93,4.65,1256.63706143592,2.56,347.73
200142,"EC 45 flat Ø42.9 mm, brushless, 30 Watt, with Hall sensors",12,1.24,0.00056,9.25e-06,0.075,0.0255,0.0255,2.02,456.578132321717,0.163,3.92,6.73,1047.1975511966,0.247,73
236662,"A-max 32 Ø32 mm, Graphite Brushes, 20 Watt, with terminals",24,3.99,0.000556,4.53e-06,0.24,0.0352,0.0352,1.33,676.489618073002,0.0428,2.1,7.5,628.318530717959,0.212,158.64
236670,"A-max 32 Ø32 mm, Graphite Brushes, 20 Watt, with terminals",30,7.02,0.000954,4.42e-06,0.24,0.0461,0.0461,1.01,645.073691537104,0.0323,2.1,7.5,628.318530717959,0.197,159.91
236679,"EC 14 flat Ø13.6 mm, brushless, 1.5 Watt, sensorless",18,38,0.000962,1.1e-07,0.008,0.0076,0.0076,0.256,2083.92312688123,0.0517,11.3,11.6,2303.83461263252,0.0036,74.27
249987,"A-max 19 Ø19 mm, Graphite Brushes, 2.5 Watt, with terminals",12,13.8,0.000719,2.12e-07,0.033,0.0109,0.0109,0.397,1039.86716833822,0.0446,10.5,21.3,1256.63706143592,0.00947,47.09
251601,"EC 45 flat Ø42.8 mm, brushless, 50 Watt, with Hall sensors",24,1.03,0.000572,1.35e-05,0.11,0.0335,0.0335,2.33,702.669556852917,0.185,4.75,4.53,1047.1975511966,0.78,107
265376,"A-max 12 Ø12 mm, Precious Metal Brushes CLL, 0.75 Watt, with cable",9,40.9,0.00101,2.38e-08,0.011,0.00692,0.00692,0.141,1267.10903694788,0.00587,15,44.5,1989.67534727354,0.00152,46.55
265378,"A-max 12 Ø12 mm, Precious Metal Brushes CLL, 0.75 Watt, with cable",15,116,0.00213,1.83e-08,0.011,0.01,0.01,0.0836,1445.1326206513,0.0042,15,44.5,1989.67534727354,0.00129,46.55
265392,"A-max 12 Ø12 mm, Precious Metal Brushes CLL, 0.5 Watt, with cable",12,71.6,0.00174,2.35e-08,0.012,0.00906,0.00906,0.106,1267.10903694788,0.00738,15,44.5,1466.07657167524,0.00152,47.09
267121,"EC 32 flat Ø32 mm, brushless, 15 Watt, with Hall sensors",24,13.8,0.00772,3.5e-06,0.057,0.049,0.049,0.5,474.380490692059,0.0369,4.99,10.8,1047.1975511966,0.0853,71.36
272763,"EC-max 30 Ø30 mm, brushless, 60 Watt, with Hall sensors",24,1.27,0.000143,2.19e-06,0.3,0.0243,0.0243,2.66,978.082512817622,0.231,0.5,7.4,1570.7963267949,0.458,236
272765,"EC-max 30 Ø30 mm, brushless, 60 Watt, with Hall sensors",48,4.49,0.000573,2.19e-06,0.3,0.0486,0.0486,1.4,979.129710368819,0.0954,0.5,7.4,1570.7963267949,0.519,236
272768,"EC-max 30 Ø30 mm, brushless, 40 Watt, with Hall sensors",24,3.65,0.00031,1.1e-06,0.19,0.0243,0.0243,1.49,968.657734856853,0.151,1,8.6,1570.7963267949,0.16,181.45
